"","x"
"448","純蜜珠珠"
"449","白玉三丸"
"450","白玉檸檬"
"451","檸檬愛玉"
"452","翡翠檸檬"
"453","百香QQ四季春"
"454","3C葡萄柚四季春"
"455","奇異果愛玉"
"456","養樂多四季春"
"457","葡萄柚養樂多"
"458","百香果養樂多"
"459","檸檬養樂多"
"460","大腸臭臭鍋"
"461","海鮮豆腐鍋"
"462","泡菜鍋"
"463","咖哩鍋"
"464","豬肉鍋"
"465","雞肉鍋"
"466","牛肉鍋"
"467","羊肉鍋"
"468","鯛魚鍋"
"469","牛奶鍋"
"470","皮蛋鍋"
"471","麻辣鴨血鍋"
"472","特製大套餐小乾麵"
"473","特製小套餐小乾麵"
"474","招牌綜合清湯"
"475","招牌綜合羹"
"476","招牌羹麵"
"477","招牌羹米粉"
"478","招牌羹冬粉"
"479","特製鮮肉水餃每份"
"480","鮮肉湯餃"
"481","鮮肉羹餃"
"482","祖傳旗魚羹"
"483","祖傳旗魚丸清湯"
"484","旗魚羹麵"
"485","旗魚羹米粉"
"486","旗魚羹冬粉"
"487","鴉片魚丸羹麵"
"488","鴉片魚丸羹米粉"
"489","鴉片魚丸羹冬粉"
"490","苑裡魚丸湯"
"491","冬粉魚丸湯"
"492","鴉片魚丸湯麵"
"493","鴉片魚丸湯米粉"
"494","鴉片魚丸湯冬粉"
"495","油豆腐冬粉"
"496","鄭家紅豆芋圓熱"
"497","招牌乾米粉"
"498","招牌乾麵"
"499","招牌乾冬粉"
"500","小菜滷味.豆干.海帶.油豆腐"
"501","心蜜茶"
"502","心蜜烏龍"
"503","茉莉綠茶"
"504","高山青茶"
"505","冬瓜青"
"506","桔香梅綠"
"507","梅果綠"
"508","蜂蜜綠"
"509","百香綠"
"510","爵士巧克力"
"511","曼特寧咖啡"
"512","膠原愛玉"
"513","寒天愛玉"
"514","膠原愛玉小紫蘇"
"515","寒天愛玉小紫蘇"
"516","蜜檸小紫蘇"
"517","桔香小紫蘇"
"518","百香小紫蘇"
"519","梅果茶"
"520","膠原梅果露"
"521","烏龍拿鐵"
"522","冬瓜拿鐵"
"523","抹茶拿鐵"
"524","桂圓紅棗拿鐵"
"525","薑母拿鐵"
"526","紅豆抹茶拿鐵"
"527","紅豆沙鮮奶露"
"528","芋頭鮮奶露"
"529","珍珠拿鐵"
"530","炸彈檸檬"
"531","檸檬梅子"
"532","檸檬冬瓜"
"533","黑桔茶"
"534","檸檬綠"
"535","檸檬蜂蜜"
"536","檸檬蜂蜜蘆薈"
"537","蜂蜜蘆薈"
"538","蜂蜜葡萄柚"
"539","柚蜜綠"
"540","經典奶茶"
"541","茉香奶茶"
"542","烏龍奶茶"
"543","珍珠奶茶"
"544","椰果奶茶"
"545","相思逗珍奶"
"546","桂圓紅棗奶茶"
"547","薑母奶茶"
"548","原味蛋糕"
"549","紅豆蛋糕"
"550","珍珠蛋糕"
"551","巧克力蛋糕"
"552","仙楂洛神梅"
"553","桂圓紅棗"
"554","黑薑母"
"555","珍珠.愛玉.椰果.小紫蘇"
"556","布丁.紅豆.蘆薈.寒天晶球.膠原晶鑽"
"557","排骨飯"
"558","爌肉飯"
"559","醋里肌飯"
"560","牛柳飯"
"561","雞腿飯"
"562","菜肉"
"563","韭菜"
"564","蕃茄拉麵"
"565","大滷拉麵"
"566","沙茶牛肉麵"
"567","酸辣湯"
"568","蔬菜湯"
"569","大豆干"
"570","豆干"
"571","海帶"
"572","滷蛋"
"573","百頁豆腐"
"574","花干"
"575","豆皮"
"576","蔥爆牛肉"
"577","紅燒牛腩"
"578","獅子頭"
"579","咕咾里肌"
"580","蔥爆里肌"
"581","控肉飯"
"582","香酥雞排"
"583","日式炸豬排"
"584","香滷雞腿"
"585","香酥雞腿"
"586","咖哩雞腿"
"587","宮保雞丁"
"588","椒麻雞腿"
"589","香酥多利魚"
"590","豆酥鯛魚"
"591","香煎鯖魚"
"592","深海圓鱈豆酥"
"593","蒲燒鰻魚"
"594","骨牛小排飯"
"595","醋魚排飯"
"596","蒲燒鯛魚飯"
"597","滷豬腳飯"
"598","日式豬排飯"
"599","醋里肌肉飯"
"600","咖哩牛肉飯"
"601","咖哩豬排飯"
"602","咖哩雞排飯"
"603","花枝捲飯"
"604","蝦捲飯"
"605","骨香雞排飯"
"606","焢肉飯"
"607","椒麻雞飯"
"608","鮭魚蛋炒飯"
"609","蝦仁蛋炒飯"
"610","叉燒蛋炒飯"
"611","肉桂霜鬆餅"
"612","英國唐寧伯爵天使"
"613","日式靜岡抹茶蜜紅豆"
"614","義式Musetti香濃巧克力"
"615","杏仁巧醬鬆餅"
"616","蘭姆葡萄鬆餅"
"617","巧醬蜂蜜鮮奶霜"
"618","好事花生巧醬鮮奶霜"
"619","香蕉巧醬鮮奶霜"
"620","巧醬卡士達"
"621","巧醬酥烤棉花"
"622","焗烤藍莓起士"
"623","鮪魚咬洋蔥"
"624","雙味炸雞"
"625","泰式椒麻雞"
"626","低脂蒜味松板豬"
"627","烤酒糟燒肉"
"628","韓式烤牛肉"
"629","美式咖啡"
"630","提拉米蘇咖啡"
"631","黑拿鐵"
"632","焦拿鐵"
"633","榛果拿鐵"
"634","天使紅茶"
"635","天使奶茶"
"636","桔梅綠茶"
"637","鮮桔茶"
"638","檸檬紅茶"
"639","奶蓋紅茶僅限飲"
"640","奶蓋綠茶僅限飲"
"641","南非博士茶"
"642","南非博士檸檬茶"
"643","蜂蜜檸檬汁"
"644","梅子洛神茶"
"645","奶蓋博士茶僅限飲"
"646","鮮奶茶"
"647","黑鮮奶茶"
"648","焦鮮奶茶"
"649","榛果鮮奶茶"
"650","歐蕾"
