,0
17,鯛魚排飯
18,蝦排飯
19,吳郭魚飯
20,雙拼飯(爌肉+排類)
21,爌肉飯
22,鯖魚飯
23,鍋燒意麵
24,鍋燒冬粉
25,鍋燒飯湯
26,韓式泡菜意麵
27,韓式泡菜冬粉
28,韓式泡菜飯湯
29,水餃10粒
30,泰式雞腿排
31,炸雞腿排
32,鮭魚排
33,橙汁雞腿排
34,卡拉雞腿排
35,鱈魚排
36,照燒雞腿排
37,起司豬排
38,今天不訂
0,春捲
1,關廟粿仔
2,關廟粿仔加蛋
0,清蒸臭豆腐鍋
1,麻辣臭豆腐鍋
2,鴨血臭豆腐鍋
3,鴨血煲鍋
4,綜合臭豆腐鍋
5,海鮮臭豆腐鍋
6,腸旺臭豆腐鍋
7,泡菜臭豆腐鍋
8,豬肉臭豆腐鍋
9,大腸臭豆腐鍋
10,皮蛋臭豆腐鍋
11,牛肉臭豆腐鍋
12,海鮮豆腐鍋
13,番茄美容鍋
14,酸辣泡菜鍋
15,豬肉風味鍋
16,牛肉營養鍋
17,南瓜牛奶鍋
18,牛奶鍋
19,換麵
20,綜合鮮菇燴飯
21,豬肉燴飯
22,麻婆豆腐燴飯
23,原味鍋燒
24,泡菜鍋燒
25,番茄鍋燒
26,原味臭豆腐
27,泡菜臭豆腐
28,泡菜
29,科學麵
30,冬粉
31,烏龍
32,雞絲
33,意麵
34,白飯
35,今天不訂
0,菜單圖
1,飲料圖
2,蕃茄綜合炒飯
3,綜合炒飯
4,咖哩雞肉飯
5,三鮮燴飯
6,豬肉燴飯
7,蝦仁火腿蛋炒飯
8,蕃茄蝦仁火腿蛋炒飯
9,蕃茄肉絲火腿蛋炒飯
10,火腿蛋炒飯
11,蛋包飯
12,素食炒飯
13,泡菜炒飯
14,鐵板麵
15,炒意麵
16,炒大麵
17,炒米粉
18,蛤仔湯
19,蛋花湯
20,紫菜蛋花湯
21,什錦湯
22,蕃茄豆腐蛋花湯
23,鍋燒意麵
24,鍋燒大麵
25,鍋燒冬粉
26,鍋燒米粉
27,鍋燒雞絲麵
28,豆腐鍋
29,泡菜鍋
30,飯湯
31,排骨麵
32,牛肉麵
33,咖哩小火鍋
34,什錦小火鍋
35,麻辣小火鍋
36,麻油小火鍋
37,泡菜小火鍋
38,菜脯蛋
39,蔥蛋
40,青菜(時價)
41,豬柳
42,白飯
43,荷包蛋
44,西瓜汁
45,木瓜汁
46,哈密瓜汁
47,鳳梨汁
48,葡萄汁
49,綜合果汁
50,番茄汁
51,蘋果養樂多
52,蕃茄養樂多
53,葡萄養樂多
54,檸檬養樂多
55,木瓜牛奶
56,西瓜牛奶
57,哈密瓜牛奶
58,葡萄牛奶
59,香蕉牛奶
60,奇異果汁
61,鳳梨牛奶
62,布丁牛奶
63,蕃茄牛奶
64,芭樂牛奶
65,蘋果牛奶
66,酪梨牛奶(加布丁)
67,彎豆冰
68,彎彎椰果冰
69,紅豆牛奶冰
70,月見冰
71,雪淇加冰淇淋
