豬肉鍋(沙茶 or原味)
咖喱牛肉河粉
咖喱雞河粉
海鮮河粉
(生+熟)牛肉河粉
炸雞腿河粉
炸豬排河粉
陽春河粉(牛湯或豬湯)
牛肉乾拌河粉
豬肉乾拌河粉
豬排涼拌越式米粉
乾拌河粉
牛肉湯
牛肉丸湯
海鮮湯
豬肉湯
排骨湯
豬排飯
雞腿飯
咖喱雞飯
咖喱牛肉飯
火腿麵包
素食麵包
豬肉法式麵包
牛肉法式麵包
咖喱雞法式麵包
咖喱牛肉法式麵包
招牌生菜捲
素生菜捲
涼拌木瓜絲
招牌油豆腐
燙青菜
炸春捲
炸雞腿
炸排骨
架上小菜一盤(需打電話詢問菜色)
鮮肉大餛飩湯
菜肉大餛飩湯
蝦肉大餛飩湯
紫菜三絲湯
鮮肉大餛飩麵
菜肉大餛飩麵
蝦肉大餛飩麵
榨菜肉絲麵
乾拌麵
麻醬麵
炸醬麵
溫州涼麵
香辣老虎麵
溫州抄手麵
菜肉抄手麵
蝦肉抄手麵
麻醬紅油抄手(鮮肉)
麻醬紅油抄手(菜肉)
麻醬紅油抄手(蝦肉)
各式小菜
海陸飯糰
豬排飯糰
德式香腸飯糰
鮪魚飯糰
培根飯糰
泡菜飯糰
脆筍飯糰
海苔飯糰
牛蒡飯糰
起司飯糰
豆棗飯糰
滷蛋飯糰
傳統飯糰
魚鬆飯糰
花生甜飯糰
伯爵奶茶
古早味紅茶
米漿
豆漿
黑豆漿
蔥餅（買10送1）
蔥餅烤法
蕈菇香料烤雞湯
家常什蔬豬肉丸湯
蔬食地瓜濃湯 (素)
鄉村燉牛肉佐時蔬
紅醬漢堡排佐時蔬
野菜炊飯
手工麵包
當季時蔬
陽光麥香紅茶
香禾錫蘭紅茶
竹山觀音紅茶
皇家伯爵紅茶
魚池阿薩姆紅茶
魚池有機紅玉
麥香鮮奶茶
錫蘭鮮奶茶
觀音鮮奶茶
伯爵鮮奶茶
阿薩姆鮮奶茶
[夏]輕紅茶
[冬]黑糖鮮奶
[冬]黑石鮮奶
[冬]火山奶茶
[夏]藍莓紅茶
[夏]扁實香檸紅茶
[產]瑞穗蜜香紅茶
[產]阿里山高山紅茶
阿薩姆紅茶
茉莉綠茶
烏龍綠茶
高山烏龍青茶
安溪鐵觀音
現泡阿里山石桌茶
現泡靜岡油切綠茶(無糖)
東方美人茶(無糖)
黑眼豆豆檸檬or百香
百香鮮Q綠茶
紅豆珍珠奶茶
鮮芋頭奶綠
鮮芋頭Q奶
紅豆鮮Q芋圓奶茶
紅豆鮮芋頭奶茶
仙草干茶
冬瓜甘露
百香紅/綠茶
養樂多綠茶
仙草凍蜜
冰淇淋紅茶
檸檬愛玉
冬瓜檸檬
冬瓜青茶/鐵觀音
雙梅綠茶
甘蔗青茶/鐵觀音
蜂蜜檸檬蘆薈
養樂多檸檬
冬瓜拿鐵
紅茶拿鐵
觀音/烏龍拿鐵
可可歐蕾
抹茶拿鐵
奶茶/奶綠/奶青/烏龍/觀音奶茶
珍珠奶茶
阿華田
嫩仙草奶茶
黑炫風奶茶
芋圓奶茶
紅豆奶茶
布丁奶茶
檸檬紅/綠茶
鮮桔茶
檸檬汁
水果茶
冰梅凍飲
凍檸冰茶
紅豆奶沙
芋頭奶沙
冰醋洛神莓
日出牛丼
魩仔魚丼
燻鮭魚丼
板烤親子丼
天津飯(蟹玉丼)
中華丼
太鼓丼
薑燒豬肉丼
薑燒牛肉丼
大盛鮪魚沙拉
大盛蟹味沙拉
大盛燻鮭魚沙拉
大盛海綜合沙拉
泡菜豬排丼
泡菜雞排丼
泡菜豬肉丼
泡菜牛肉丼
泡菜蝦仁丼
泡菜黃金魚排丼
泡菜雞豬雙響丼
泡菜起司雞豬丼
泡菜厚切豬排丼
泡菜彈牙炸蝦丼
泡菜大富豪丼
滑蛋豬肉丼
滑蛋豬排丼
滑蛋雞排丼
滑蛋牛肉丼
滑蛋蝦仁丼
黃金魚排丼
滑蛋雞豬雙響丼
起司雞豬雙拼丼
滑蛋厚切豬排丼
滑蛋彈牙炸蝦丼
大富豪丼
馬鈴薯燉蔬菜丼(方便素)
馬鈴薯燉豬肉丼
馬鈴薯燉牛肉丼
咖哩豬排丼
咖哩雞排丼
咖哩蔬菜丼
咖哩豬肉丼
咖哩牛肉丼
咖哩蝦仁丼
咖哩黃金魚排飯
咖哩雞豬雙響飯
咖哩起司雞豬排飯
咖哩厚切豬排飯
咖哩彈牙炸蝦飯
大富豪咖哩飯
蘋果鮮綠/鮮紅
蘋果柳橙
蘋果優利卡
蘋果舞凍
蘋果多多
蘋果草莓
蘋果那提
蘋果鳳梨
蘋果奶茶
草莓綠茶
草莓奶茶
檸檬舞凍
青桔舞凍
柳橙鮮綠
鳳梨綠茶
水果綠茶
伯爵水果茶
葡萄柚蘆薈蜜
葡萄柚優格
葡萄柚綠茶
火龍果那堤
蘋果火龍果
火龍果雲朵冰沙
芒果雲朵冰沙
奇異果綠茶
黃金奇異果冰沙
檸檬鮮紅
檸檬鮮綠茶
檸檬伯爵
金桔檸檬
檸檬汁
鮮桔汁
檸檬蜂蜜
檸檬多多
香蕉優利卡
香蕉那堤
草莓枊橙
草莓那堤
草莓多多
百香鮮紅
百香鮮綠茶
百香優利卡
鮮果百香
芒果優利卡
芒果那堤
台灣蜜香紅茶
茉莉綠茶
伯爵紅茶
南投菁茶
蜜香紅奶茶
茉莉綠奶茶
伯爵奶茶
珍珠奶茶
珍珠奶綠
珍珠紅茶拿鐵
珍珠綠茶拿鐵
紅茶拿鐵
綠茶拿鐵
伯爵拿鐵
抹茶奶茶
抹茶拿鐵
奶蓋紅
奶蓋綠
珍珠奶蓋紅
珍珠奶蓋綠
義豐冬瓜茶
義豐冬瓜菁
義豐冬瓜檸檬
蘆薈蜜
珍蘆蜜
蜂蜜綠
養樂多綠茶
黑咖啡
羅馬咖啡
拿鐵咖啡
摩卡咖啡
玫瑰鹽咖啡
椰香奶蓋咖啡
椰香拿鐵
卡布奇諾咖啡(H)
抹茶咖啡
冰鑽咖啡那提
北海道鮮奶蛋糕
波士頓
瓶中精靈/瓶
芋見幸福
教堂歐培拉
義式香草蛋糕
歐風檸檬派
咖啡摩卡蛋糕
歐式焦糖蘋果派
提拉米蘇
德式黑森林
楚佛巧克力
瑞士巧克力
紐約起士
千層派
起士布丁塔
蛋糕組合
三明治組合
時令水果拼盤
椰子奶香
咖啡餅乾
巧克力脆餅
夏威夷果仁餅乾
招牌咖啡
美式咖啡
黃金特調咖啡
榛果特調咖啡
提拉米蘇咖啡
卡布奇諾
焦糖瑪琪朵
法式原味拿鐵
法式焦糖拿鐵
法式榛果拿鐵
法式香草拿鐵
大吉嶺紅茶
茉香綠茶
梅子綠茶
清香烏龍
白桃烏龍
檸檬紅茶
蜂蜜綠茶
多多綠茶
珍珠奶茶
英式奶茶
茉香奶茶
烏龍奶茶
布丁奶茶
鮮奶茶
QQ撞奶
蜂蜜檸檬
蘋果果醋
金桔檸檬
柚子風味飲
檸檬愛玉（大杯）
香草牛奶
歐式可可
芒果冰沙
咖啡冰沙
鳳梨冰沙
蜂蜜檸檬蘆薈
香蕉牛奶(小杯)
香蕉可可
雲朵咖啡
雲朵拿鐵
咖啡奶昔
糖霜鬆餅
火腿起司鬆餅
蜂蜜鬆餅
鮪魚沙拉鬆餅
巧克力鬆餅
鮮蔬燻雞鬆餅
燻雞三明治
鮪魚三明治
肉鬆三明治
火腿起司三明治
豬腸冬粉
豬腸麵
肝連冬粉
肝連麵
豬肚冬粉
豬肚麵
綜合丸子冬粉
綜合丸子麵
綜合(豬腸肝連豬肚)冬粉
綜合(豬腸肝連豬肚)麵
清湯冬粉
清湯麵
豬肝麵
餛飩麵
餛飩冬粉
肉燥意麵(湯)
肉燥米粉(湯)
古早味切仔麵(湯)
古早味米粉(湯)
紅油拌麵(乾)
紅油拌冬粉(乾)
紅油抄手(乾)
紅油抄手麵(乾)
紅油抄手冬粉(乾)
醡醬麵(乾)
肉燥意麵(乾)
古早味切仔麵(乾)
古早味米粉(乾)
滷肉飯
菜飯
滷肉飯便當
滷豬排飯
豬腳飯
獅子頭飯
蒜泥白肉飯
紅糟焢肉飯
豬腸湯
肝連湯
豬肚湯
綜合丸子湯
綜合湯(豬腸肝連豬肚)
豬肝湯
餛飩湯
蛋包湯
蔬菜湯
滷豬排
蒜泥白肉
豬腳
紅糟焢肉
豬小腸
獅子頭
肝連
滷大腸
粉肝
滷筍絲
滷豆腐
滷蛋
燙青菜
牛丼麵
紅燒牛肉麵
清燉牛肉麵
番茄牛肉麵
半筋半肉麵
三寶牛肉麵
牛丼飯
豬丼飯
黑胡椒牛肉燴飯
古早味雞腿飯
肉燥飯
紅燒牛肉湯餃
清燉牛肉湯餃
番茄牛肉麵湯餃
古早味豬油拌麵
麻醬麵
豬丼乾麵
海瑞香菇貢丸麵
餛飩麵
豬丼麵
韭菜水餃(10顆/份)
高麗菜水餃(10顆/份)
五行水餃 (10顆/份)
煎餃(10顆/份)
海瑞香菇貢丸湯
餛飩湯
窩絲餅
紅豆煎餅
三星蔥煎餅
豬肉捲餅
牛肉捲餅
炸棒腿飯
香腸飯
香酥雞排飯
滷雞腿飯
滷雞排飯
柳葉魚飯
蒜泥白肉飯
鹹豬肉飯
炸排骨飯
滷排骨飯
控肉飯
打拋豬肉飯
烤牛五花飯
大雞排飯
大雞腿便當
泡菜牛(豬)肉飯
大阪燒豬排飯
鐵板牛柳
香酥鱈魚飯
咖哩雞排飯
咖哩起司豬排飯
咖哩豬排飯
咖哩魚排飯
咖哩牛肉飯
咖哩豬肉飯
咖哩可樂餅飯
雞排蛋飯
起司豬排蛋飯
豬排蛋飯
魚排蛋飯
牛肉蛋飯
豬排蛋飯
可樂餅蛋飯
咖哩鮮味鍋
川味麻辣鍋
泡菜豆腐鍋
海鮮豆腐鍋
韭菜水餃
高麗菜水餃
牛肉湯餃(10粒)
酸辣湯餃(10粒)
清湯餃(10粒)
紅油抄手
牛肉湯
牛肉清湯
貢丸湯
餛飩湯
酸辣湯
蛋花湯
肝連湯
粉腸湯
青菜湯
紫菜蛋花湯
豬血湯
羅蔔湯
羅蔔貢丸湯
燙青菜
滷雞腿飯
滷豬腳飯
滷排骨飯
酸辣飯
滷肉飯
乾麵
台南意麵
醡醬麵
麻醬麵
紅油抄手麵
乾粄條
陽春麵
陽春意麵
豬腳麵線
半筋半牛肉麵
牛肉麵
牛肉湯麵
榨菜肉絲麵
排骨麵
餛飩麵
貢丸麵
酸辣麵
炒米粉
蛋炒飯
切粉腸
切肝連
油豆腐(1塊)
拼盤
黑糖珍珠鮮奶(中)
黑糖珍珠仙草鮮奶
黑糖珍珠綠豆鮮奶
黑糖珍珠布丁鮮奶
黑糖仙草鮮奶
黑糖綠豆鮮奶
黑糖布丁鮮奶
黑糖愛玉鮮奶
黑糖鮮奶
黑糖仙草綠豆鮮奶
黑糖仙草布丁鮮奶
伯爵拿鐵
不知春拿鐵
高山烏龍拿鐵
茉香奶綠
珍珠伯爵拿鐵
仙草伯爵拿鐵
布丁伯爵拿鐵
黑糖冬瓜拿鐵
黑糖布丁冬瓜拿鐵
巧克力拿鐵
巧克力珍珠拿鐵
黑糖桂紅薑母茶
黑糖檸檬
黑糖檸檬珍珠
黑糖檸檬仙草
黑糖檸檬愛玉
檸檬紅茶
檸檬青茶
檸檬綠茶
百香綠茶
葡萄柚綠茶
葡萄柚檸檬綠茶
柳橙綠茶
荔枝綠茶
金桔檸檬
百香雙響
黑糖伯爵紅
茉莉花茶
高山烏龍
不知春茶
美式咖啡
招牌黑糖咖啡
黑糖珍珠
黑糖仙草
黑糖綠豆
黑糖冬瓜
黑糖冬瓜檸檬
黑糖冬瓜珍珠
黑糖冬瓜仙草
黑糖冬瓜檸檬珍珠
黑糖冬瓜檸檬愛玉
黑糖冬瓜QQ凍
泰泰鮮奶茶
泰泰珍珠鮮奶茶
宇治抹茶
宇治抹茶珍珠
蜂蜜菊花茶
蜂蜜檸檬菊花茶
阿薩姆紅茶
茉莉花綠茶
復刻紅茶
外婆紅茶/固定甜度
金湯鐵觀音
台灣高山青茶
紅茶鮮奶茶
外婆鮮奶茶/固定甜度
鐵觀音鮮奶茶
可可鮮奶茶
小葉茶凍鮮奶茶
甘蔗鮮奶茶
奶茶
翡翠凍奶綠
珍珠奶茶
小葉茶凍奶茶
紅豆奶茶
阿華田
多多綠茶
冰淇淋紅茶
淘氣檸檬
綠豆鮮奶沙/固定甜度
鮮百香果綠茶
鮮榨檸檬
鮮榨甘蔗檸檬
鮮葡萄柚綠茶
鮮柳橙綠茶
鮮芒果冰沙6-10月限定
金鑽蜜鳳梨凍飲
奇異果晶沙
番茄蜜凍飲
百香蜜凍飲
水果茶凍飲(可熱)
鮮檸檬(可熱)
鮮甘蔗青茶
金吉檸檬(可熱)
冬瓜檸檬
蜂蜜檸檬
檸檬蘆薈
愛玉檸檬
拿鐵冰沙
香草爵士冰沙
摩卡咖啡冰沙
巧克力碎片冰沙
薄荷巧克力冰沙
黑咖啡
拿鐵
卡布奇諾
經典摩卡
經典冰咖啡
香草奶昔
巧克力奶昔
鮮芒果奶昔/6-10月限定
(限)大阪燒海洋珍珠堡(藜麥米)
(限)輕檸鮭魚堡
(限)蜜汁烤雞起司堡
輕檸雙牛堡
藜麥元氣和牛珍珠堡
元氣和牛珍珠堡
藜麥燒肉珍珠堡
燒肉珍珠堡(牛)
藜麥海洋珍珠堡
海洋珍珠堡
藜麥薑燒珍珠堡
薑燒珍珠堡
藜麥杏鮑菇珍珠堡
杏鮑菇珍珠堡
厚切培根和牛堡
摩斯鱈魚堡
黃金炸蝦堡
摘鮮綠黃金炸蝦堡
摩斯熱狗堡
辣味吉利熱狗堡
蜜汁烤雞堡
摩斯漢堡
摩斯吉士漢堡
摩斯鱈魚堡+燒肉珍珠堡(牛)
輕檸鮭魚堡+藜麥薑燒珍珠堡+摩斯鱈魚堡
原味藜麥大阪燒海洋珍珠堡+藜麥薑燒珍珠堡+摩斯鱈魚堡
(限)藜麥地瓜烤雞沙拉
(限)蒜香起司薯條
(限)北海道咖哩可樂餅
(限)蝴蝶蝦方塊薯組
雞塊點心盒
雞肉總匯沙拉
新夏威夷鮮蔬沙拉
和風炸雞
摩斯雞塊(5塊)
法蘭克熱狗
北海道可樂餅
薯條
和風雞腿塊
抹茶紅豆千層派
帶骨香腸
方塊薯餅(3個)
雞腿塊薯條組
雞腿塊地瓜組
(限)豚汁蔬菜湯
玉米濃湯
鮮菇濃湯
(限)熱蜜栗子拿鐵咖啡
(限)冰蜜栗子茶歐雷
(限)森林脆片冰歐雷咖啡
(限)莓果蒟蒻冰茶
(限)莓果氣泡飲
(限)白桃氣泡飲
(限)冰焙茶奶茶
(限)熱焙茶拿鐵咖啡
(限)100%新鮮橘子汁
(限)抹茶拿鐵咖啡
(限)9周年慶抹茶拿鐵咖啡
摩斯咖啡
9周年慶摩斯咖啡
拿鐵咖啡
9周年慶拿鐵咖啡
熱摩斯奶茶
熱卡布奇諾
冰紅茶
冰咖啡
可樂
雪碧
摩斯葡萄汁
摩斯蘋果汁
摩斯鮮乳
熱紅茶
熱可可
熱咖啡
玄米煎茶
蘋果熱茶
柚子熱茶
摩斯純淨天然水(550ML)
摩斯純淨水(300ML)
(限)伯爵紅茶蒙布朗
(限)甜心野莓慕斯
(限)抹茶芭芭露雅
(限)藍莓輕乳酪
(限)熊本熊番茄蒟蒻
摩斯提拉米蘇
抹茶慕斯
蜂蜜檸檬蒟蒻
葡萄蒟蒻
A套餐(薯條(L))
B套餐
C套餐(迷迭香腿塊薯條組)
D套餐(摩斯雞塊)
E套餐(北海道咖哩可樂餅)
S套餐(蒜香起司薯條)
手打溫體豬漢堡排
義大利青醬雞腿排
里昂風味豬雞雙拼
泰式紅咖哩牛五花
勃根地紅酒燉牛肉
南法燉蔬香煎鱸魚
XO醬香煎綜合菇（素）
QR CODE
紅豆
奶油
古早蘿蔔絲
抹茶紅豆
巧克力奶油
雙起司帕瑪森
核桃巧克力
鮪魚玉米起司
爆漿起司蛋
紅玉紅茶
美式咖啡
拿鐵咖啡
北海道牛奶
瑞士巧克力
蘭姆葡萄
酒釀櫻桃
茉莉綠茶
阿薩姆紅茶
四季春茶
黃金烏龍
檸檬綠
梅果綠
蜂蜜綠
桔子綠
8冰綠
養樂多綠
鮮柚綠
旺來紅
冰淇淋紅茶
奶茶
奶綠
烏龍瑪奇朵
四季奶青
黃金烏龍奶茶
阿華田
可可芭蕾
波霸紅茶
波霸綠茶
波霸青茶
波霸烏龍茶
波霸奶綠
波霸奶茶
珍珠紅茶
珍珠綠茶
珍珠青茶
珍珠烏龍茶
珍珠奶綠
珍珠奶茶
椰果奶茶
布丁奶茶
布丁奶綠
布丁烏龍奶
仙草奶凍
檸檬汁
金桔檸檬
檸檬梅汁
檸檬養樂多
葡萄柚多多
8冰茶
鮮柚汁
鳳梨汁
紅茶拿鐵
綠茶拿鐵
黃金烏龍拿鐵
阿華田拿鐵
可可芭蕾拿鐵
龍蝦沙拉起士
牛肉黑胡椒起士
燒肉泡菜起士
墨西哥香腸起士
義大利肉醬起士
鮪魚玉米起士
培根馬鈴薯起士
蒜味杏包菇起士
原味杏包菇起士
蛋沙拉起士
花生QQ
可可QQ
奶酥QQ
藍莓QQ
花生綿綿
可可綿綿
奶酥綿綿
藍莓綿綿
四神湯
薑絲湯
青菜湯
肉羹清湯
鱈魚丸湯
貢丸湯
李記便當
招牌
古早味蛋包
焢肉飯
魯肉飯
肉麻麵
黑麻麵
沙茶乾麵
乾意麵
乾冬粉
湯意麵
綜合湯
肝連湯
豬肚湯
豬腸湯
綜合丸湯
刈包
加蛋刈包
肉粽
碗粿
肉圓
肉包
烏梅汁
魯味拼盤
魯蛋
荷包蛋
魯筍片
涼拌木耳
豆干
皮蛋豆腐
燙青菜
豆芽菜
台式炸雞
肝連
豬肚
豬腸
咖哩雞排飯
三杯雞飯
油雞飯
泰式雞排飯
卡啦雞排飯
照燒雞腿飯
宮保雞丁飯
霸王雞排飯
香滷雞腿飯
脆皮雞腿飯
香煎魚肉飯
花枝排飯
澎湖蝦卷飯
鮭魚飯
照燒鯛魚飯
鮭魚飯
西湖鱈魚飯
泡菜牛肉飯
中式素食飯
香滷肉片飯
蒜泥白肉飯
香酥排骨飯
咖哩肉片飯
燒肉香腸飯
蔥香豬柳飯
梅干扣肉飯
香酥排骨飯
泡菜培根飯
紅燒肉飯
泰式打拋豬肉飯
泰式豬排飯
糖醋里肌飯
蜜汁烤肉飯
三拼招牌飯
蝦卷＋鯛魚飯
棒腿＋烤肉飯
棒腿＋鯛魚飯
棒腿＋叉燒飯
棒腿＋豬柳飯
排骨＋花枝排飯
排骨＋蝦卷飯
來來特餐
海陸特餐
會議特餐
芝麻炸醬乾麵(素食可)
麻醬乾麵(素食可)
麻辣乾麵
日式蕎麥麵(素食可)
油蔥乾麵
傻瓜乾麵(素食可)
麻油乾拌麵線(素食可)
雞肉沙拉(含飲料餅乾)
百味俱樂部
香熱起司
燒烤牛肉
起司牛排
意大利經典
火腿
嫩切雞肉
火腿臘腸
意大利雞肉丸
鮪魚
香烤雞肉
火雞胸肉
照燒雞肉
火雞火腿
凱薩肌肉
速食蔬菜
蔬菜沙拉
肉類沙拉
白麵包
全麥麵包
巴馬乾酪
蜂蜜燕麥
家鄉麵包
凱薩醬
黃芥末
西南醬
義式油醋
美乃滋
蜂蜜芥末
橄欖油
甜蔥醬
鹽
胡椒
培根
雙份肉料
雙份起司
套餐-餅乾+飲料
花生濃香餅乾
原味香餅餅乾
M&M巧克力餅乾
白巧克力夏威夷豆餅乾
葡萄燕麥餅乾
黑巧克力餅乾
洋芋片
可樂
雪碧
健怡
果汁
牛腩便當
日式豬排飯
牛丼便當
蝦卷飯
柳葉魚
排骨飯
滷排飯
雞排飯
烤雞腿飯
炸雞腿飯
滷雞腿飯
滷肉便當
菜便當
每日特餐 星期一 蔥爆鹹豬肉
星期二 薑汁燒肉
星期三 蔥爆牛肉
星期四 三杯雞
星期五 滷排骨
茉香綠茶
大正紅茶
英倫伯爵紅茶
初露青茶
高峰烏龍綠
決明大麥
青採翠玉
伯爵紅茶拿鐵
大正紅茶拿鐵
綠茶拿鐵
烏龍拿鐵
青茶拿鐵
麥茶拿鐵
珍珠紅茶拿鐵
布丁紅茶拿鐵
仙草凍紅茶拿鐵
紅豆紅茶拿鐵
鹿谷黃金烏龍(無糖)
小山迎露(無糖)
珍珠鮮奶
手炒黑糖鮮奶
大甲芋頭鮮奶
草莓鮮奶
可可亞鮮奶
出雲抹茶鮮奶
冬瓜鮮奶
布丁鮮奶
仙草凍鮮奶
紅豆鮮奶
桂圓鮮奶
大正紅茶鮮豆奶
伯爵紅茶鮮豆奶
綠茶鮮豆奶
青茶鮮豆奶
麥茶鮮豆奶
烏龍茶鮮豆奶
珍珠紅茶鮮豆奶
布丁紅茶鮮豆奶
仙草凍紅茶鮮豆奶
紅豆紅茶鮮豆奶
出雲抹茶鮮豆奶
冬瓜鮮豆奶
布丁仙豆奶
原鄉冬瓜茶
冬瓜青茶
蜂農花蜜茶
冰糖洛神梅
養樂多綠
甘蔗青茶
蔓莓雙果醋
香柚綠茶
青檸香茶
冬瓜檸檬
金吉檸檬
冰萃檸檬
桂圓紅棗茶
阿文翠梅綠
仙人掌冰茶
珍珠仙人掌
原味茶歐雷
非洲可可茶歐雷
天然黑芝麻茶歐雷
北杏仁茶歐雷
Nespresso義式鴛鴦
觀日高山菁茶歐雷
精粹茶歐雷(冷飲限定)
柳橙鮮果菁茶
芒果鮮果菁茶
百香果鮮果菁茶
純葡萄柚鮮果菁茶
純桑葚鮮果菁茶
觀日高山菁茶
觀日高山檸檬菁茶
土鳳梨鮮果菁茶
洛神花菁茶(完售)
黑白戀(黑芝麻+北杏仁)
雪中送炭(黑芝麻+核桃)
雞腿飯
魚排飯
控肉販
雞排飯
豆鼓排骨飯
蝦捲飯
燒肉飯
燒排飯
菜飯
滷肉飯
白飯
乾麵
切仔麵
餛飩麵
豬肝麵
苦瓜排骨麵
芋頭排骨麵
餛飩湯
豬肝湯
苦瓜排骨湯
芋頭排骨湯
滷豆腐
炸豆腐
燙青菜
滷白菜
肉絲蛋炒飯
蝦仁蛋炒飯
泡菜肉絲炒飯
廣州炒飯
貴州辣雞炒飯
沙茶牛肉炒飯
鹹魚雞粒炒飯
肉絲炒麵
泡菜肉絲炒麵
沙茶牛肉炒麵
滷排骨便當
炸排骨便當
控肉便當
烤香腸飯
酥炸排骨飯
炸香雞排飯
蜜汁叉燒飯
脆皮燒肉飯
玫瑰油雞飯
燒肉油雞飯
燒肉叉燒飯
燒肉香腸飯
香腸油雞飯
香腸叉燒飯
叉燒油雞飯
脆皮燒鴨飯
燒肉燒鴨飯
香腸燒鴨飯
叉燒燒鴨飯
燒鴨油雞飯
廣東臘味飯
香酥雞腿飯
玫瑰油雞腿飯
蜜汁燒雞腿飯
三寶飯
招牌飯
燒鴨腿飯
鑽石盒餐
五寶飯
素食A餐
素食B餐
廣東炒飯
沙茶豬肉燴飯
黑胡椒豬肉燴飯
蝦仁炒飯
沙茶牛肉燴飯
滑蛋牛肉燴飯
黑胡椒牛肉燴飯
滑蛋蝦仁燴飯
乾炒豬肉河粉
肝炒牛肉河粉
沙茶魷魚麵
沙茶魷魚冬粉
沙茶魷魚米粉
綜合
魷魚羹
魷魚羹麵
魷魚羹冬粉
魷魚羹米粉
魷魚羹
脆皮甜筒手工冰
懷舊清冰
牛奶冰
草莓冰
百香果冰
桑葚冰
鳳梨冰
芒果冰
花生冰
芋頭冰
超級芒果爽
奇異千層冰
草莓千層冰
紅豆牛奶冰
大紅豆牛奶冰
花生牛奶冰
芋頭牛奶冰
薏仁牛奶冰
關西嫩仙草
燒麻糬
熱珍珠鮮奶
熱紅豆鮮奶
熱仙草鮮奶
熱薏仁鮮奶
帶皮檸檬汁
帶皮漂浮檸檬汁
珍珠漂浮鮮奶
紅豆漂浮鮮奶
仙草漂浮鮮奶
薏仁漂浮鮮奶
綠豆沙牛奶
大紅豆沙牛奶
芋頭沙牛奶
奇異果汁
百香果汁
