,0
0,蜜汁烤肉飯
1,排骨飯
2,梅花控肉販
3,紅燒肉飯
4,蜜汁烤肉飯
5,無骨雞排飯
6,士林香腸飯
7,雞肉捲飯
8,紅燒肉飯
9,特級招牌飯
10,黃金蝦排飯
11,日式鮭魚飯
12,香酥炸雞排
13,蜜汁烤鯛魚飯
14,冰島鱈魚飯
15,宮保雞丁飯
16,蔥爆牛肉飯
17,香滷雞腿飯
18,轟炸雞腿飯
19,蔥爆豬肉飯
20,烤雞腿飯
21,貴賓盒餐
22,紹興醉雞飯
23,浦燒虱目魚
24,浦燒鰻魚飯
25,代訂素食
26,排骨加鯛魚
27,烤肉加蝦捲
28,炸雞腿加燒肉
29,烤雞腿加鯛魚
30,烤雞腿加鮭魚
0,醬爆雞肉飯
1,香菇雞丁飯
2,鐵板牛肉飯
3,鐵板豬肉飯
4,京醬肉絲飯
5,蠔油牛肉飯
6,蔥爆肉片飯
7,牛排飯
8,豬排飯
9,蔥爆牛肉飯
10,沙茶牛肉飯
11,沙茶豬肉飯
0,招牌烤排骨飯
1,泰式烤排骨飯
2,烤秋刀魚飯
3,打拋諸飯
4,日式烤雞腿飯
5,泰式烤雞腿飯
6,烤牛五花飯
7,滷排骨飯
8,泡菜牛肉飯
9,起士豬排飯
10,柳葉魚飯
11,牛丼飯
12,鍋燒烏龍麵
13,鍋燒意麵
0,脆皮蝦捲飯
1,脆皮蝦排飯
2,士林香腸飯
3,花枝排飯
4,小三拼飯
5,白切肉飯
6,滷腿庫飯
7,紅燒肉飯
8,卡拉雞捲飯
9,排骨飯
10,蜜汁烤肉飯
11,鮭魚排飯
12,鯛魚排飯
13,香酥雞排飯
14,酥炸雞腿飯
15,香滷雞腿飯
16,三杯雞飯
17,香菇雞飯
18,鱈魚排飯
19,棒腿+鯛魚飯
20,棒腿+魚排飯
21,棒腿+蝦捲飯
22,棒腿+燒肉飯
23,日式雞丁飯
24,蔥爆牛肉飯
25,泡菜牛肉飯
26,紅燒牛腩飯
27,橙汁排骨飯
